,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
5236,23188,15/9-F-11 B,4278.4,0.119,0.15217775,0.139,0.13615826,0.219,0.22241874
5237,23189,15/9-F-11 B,4278.5,0.119,0.15600774,0.137,0.13393497,0.215,0.21991296
5238,23190,15/9-F-11 B,4278.6,0.116,0.15799007,0.125,0.12100144,0.211,0.21649332
5239,23191,15/9-F-11 B,4278.7,0.117,0.1620836,0.133,0.13050832,0.207,0.21547745
5240,23192,15/9-F-11 B,4278.8,0.119,0.16406402,0.141,0.13811085,0.204,0.21464758
5241,23193,15/9-F-11 B,4278.9,0.118,0.16481918,0.145,0.14271931,0.203,0.21461585
5242,23194,15/9-F-11 B,4279.0,0.116,0.1631816,0.149,0.14689223,0.204,0.21595101
5243,23195,15/9-F-11 B,4279.1,0.114,0.16008967,0.151,0.14923468,0.205,0.21741022
5244,23196,15/9-F-11 B,4279.2,0.108,0.15564486,0.144,0.14210768,0.206,0.21828356
5245,23197,15/9-F-11 B,4279.3,0.104,0.15449908,0.138,0.13538362,0.205,0.21719997
5246,23198,15/9-F-11 B,4279.4,0.102,0.154892,0.14,0.1381442,0.203,0.21642254
5247,23236,15/9-F-11 B,4283.2,0.718,0.36105615,0.387,0.39443085,0.049,0.15728891
5248,23237,15/9-F-11 B,4283.3,0.777,0.37137747,0.394,0.40146694,0.051,0.15831104
5249,23238,15/9-F-11 B,4283.4,0.896,0.3981042,0.409,0.41693738,0.05,0.15426949
5250,23239,15/9-F-11 B,4283.5,0.943,0.4199398,0.436,0.44679287,0.044,0.14754273
5251,23240,15/9-F-11 B,4283.6,1.0,0.43525803,0.438,0.4481522,0.038,0.14545307
5252,23241,15/9-F-11 B,4283.7,1.0,0.54018396,0.461,0.4731767,0.033,0.12397073
5253,23242,15/9-F-11 B,4283.8,1.0,0.60527444,0.504,0.5219856,0.034,0.10272385
5254,23243,15/9-F-11 B,4283.9,1.0,0.5819323,0.505,0.5241784,0.042,0.10654234
5255,23244,15/9-F-11 B,4284.0,1.0,0.57969606,0.507,0.526862,0.055,0.10688427
5256,23245,15/9-F-11 B,4284.1,0.947,0.5906068,0.507,0.5272439,0.068,0.10613094
5257,23246,15/9-F-11 B,4284.2,0.839,0.5925104,0.509,0.52981365,0.079,0.1042528
5258,23247,15/9-F-11 B,4284.3,0.794,0.57082415,0.493,0.51139605,0.087,0.111533776
5259,23248,15/9-F-11 B,4284.4,0.79,0.60267687,0.507,0.5275828,0.092,0.104107305
5260,23249,15/9-F-11 B,4284.5,0.783,0.6436119,0.531,0.55441093,0.095,0.09271437
